Понедельник, 4 августа
6.15 "Снежная команда". Сезон: 1. Серия: 4. (Новая Зеландия, 2023)  16+
6.40 "Переделка старья". Сезон: 2. Серия: 8. (Великобритания, 2019)  12+
7.25 "Переделка старья". Сезон: 2. Серия: 7. (Великобритания, 2019)  12+
8.15 "Необъяснимая Земля". Сезон: 3. Серия: 5. (США, 2022)  16+
9.05 "Необъяснимая Земля". Сезон: 3. Серия: 6. (США, 2022)  16+
9.55 "Охотники за подземными сокровищами". Сезон: 2. Серия: 6. (Австралия, 2023)  12+
10.50 "Охотники за подземными сокровищами". Сезон: 3. Серия: 1. (Австралия, 2024)  16+
11.45 "Дорога за пятнадцать миллиардов: большое открытие". Сезон: 1. Серия: 2. (Великобритания, 2022)  12+
12.55 "Дорога за пятнадцать миллиардов: большое открытие". Сезон: 1. Серия: 1. (Великобритания, 2022)  12+
14.00 "Спасение классики". Сезон: 2. Серия: 1. (Великобритания, 2014)  16+
14.50 "Спасение классики". Сезон: 1. Серия: 4. (Великобритания, 2012)  16+
15.40 "Масштабные инженерные ошибки". Сезон: 3. Серия: 10. (Великобритания, 2021)  16+
16.35 "Масштабные инженерные ошибки". Сезон: 3. Серия: 9. (Великобритания, 2021)  16+
17.25 "Охотники за подземными сокровищами". Сезон: 3. Серия: 4. (Австралия, 2024)  16+
18.20 "Охотники за подземными сокровищами". Сезон: 3. Серия: 5. (Австралия, 2024)  16+
19.15 "Переделка старья". Сезон: 2. Серия: 9. (Великобритания, 2019)  12+
20.05 "Переделка старья". Сезон: 2. Серия: 10. (Великобритания, 2019)  12+
21.00 "Торговцы космосом". Сезон: 1. Серия: 1. (Великобритания, 2017)  16+
21.55 "Торговцы космосом". Сезон: 1. Серия: 2. (Великобритания, 2017)  16+
22.45 "Машины с того света". Сезон: 13. Серия: 1. (США, 2021)  16+
23.35 "Машины с того света". Сезон: 13. Серия: 2. (США, 2021)  16+
0.25 "Охотники за подземными сокровищами". Сезон: 3. Серия: 2. (Австралия, 2024)  16+
1.15 "Охотники за подземными сокровищами". Сезон: 3. Серия: 3. (Австралия, 2024)  16+
2.05 "Переделка старья". Сезон: 2. Серия: 7. (Великобритания, 2019)  12+
2.50 "Переделка старья". Сезон: 2. Серия: 8. (Великобритания, 2019)  12+
3.35 "Борьба за выживание". Сезон: 2. Серия: 1. (США, 2015)  16+
4.00 "Борьба за выживание". Сезон: 2. Серия: 2. (США, 2015)  16+
4.20 "Борьба за выживание". Сезон: 2. Серия: 3. (США, 2015)  16+
4.40 "Борьба за выживание". Сезон: 2. Серия: 4. (США, 2015)  16+
5.05 "Скорая авиапомощь". Сезон: 5. Серия: 10. (Великобритания, 2022)  16+
Вторник, 5 августа
6.10 "С места событий". Сезон: 1. Серия: 7. (Австралия, США, 2023)  16+
6.35 "Спасение классики". Сезон: 1. Серия: 4. (Великобритания, 2012)  16+
7.20 "Необъяснимая Земля". Сезон: 3. Серия: 7. (США, 2022)  16+
8.10 "Необъяснимая Земля". Сезон: 3. Серия: 8. (США, 2022)  16+
9.00 "Охотники за подземными сокровищами". Сезон: 3. Серия: 2. (Австралия, 2024)  16+
